Frame,Vertex,X,Y,Z
1,0,-0.252169132232666,-0.006858495995402336,0.5913987159729004
1,1,-0.06330288201570511,-0.006858492270112038,0.5913987755775452
1,2,-0.252169132232666,-0.017492050305008888,0.5729808807373047
1,3,-0.06330288201570511,-0.017492055892944336,0.5729808807373047
1,4,-0.252169132232666,-0.03875915706157684,0.5729808807373047
1,5,-0.06330288201570511,-0.038759149610996246,0.5729808807373047
1,6,-0.252169132232666,-0.0493927076458931,0.5913987159729004
1,7,-0.06330288201570511,-0.0493927039206028,0.5913987755775452
1,8,-0.2521691918373108,-0.038759153336286545,0.6098166108131409
1,9,-0.06330288201570511,-0.038759153336286545,0.6098166108131409
1,10,-0.2521691918373108,-0.017492052167654037,0.6098166108131409
1,11,-0.06330288201570511,-0.017492050305008888,0.6098166108131409
1,12,-0.07832110673189163,0.0019963327795267105,0.5913987755775452
1,13,-0.23715096712112427,0.0019963309168815613,0.5913987159729004
1,14,-0.23715093731880188,-0.01306463684886694,0.565312385559082
1,15,-0.07832106202840805,-0.013064635917544365,0.565312385559082
1,16,-0.23715093731880188,-0.04318657144904137,0.565312385559082
1,17,-0.07832106202840805,-0.04318657144904137,0.565312385559082
1,18,-0.23715096712112427,-0.05824752897024155,0.5913987159729004
1,19,-0.07832110673189163,-0.05824752897024155,0.5913987755775452
1,20,-0.23715096712112427,-0.04318657144904137,0.6174851059913635
1,21,-0.07832110673189163,-0.04318657144904137,0.6174851059913635
1,22,-0.23715096712112427,-0.013064639642834663,0.6174851059913635
1,23,-0.07832110673189163,-0.013064637780189514,0.6174851059913635
1,24,-0.24897897243499756,0.004236182197928429,0.5913987159729004
1,25,-0.24897897243499756,-0.011944709345698357,0.5633725523948669
1,26,-0.06649303436279297,-0.011944714933633804,0.5633725523948669
1,27,-0.06649303436279297,0.004236185923218727,0.5913987755775452
1,28,-0.24897897243499756,-0.04430650174617767,0.5633725523948669
1,29,-0.06649303436279297,-0.04430649057030678,0.5633725523948669
1,30,-0.24897897243499756,-0.06048738211393356,0.5913987159729004
1,31,-0.06649303436279297,-0.06048738211393356,0.5913987755775452
1,32,-0.24897904694080353,-0.04430649057030678,0.6194248795509338
1,33,-0.06649303436279297,-0.04430648684501648,0.6194248795509338
1,34,-0.24897904694080353,-0.011944714933633804,0.6194248795509338
1,35,-0.06649303436279297,-0.011944713070988655,0.6194248795509338
1,36,-0.25175195932388306,-0.016766628250479698,0.5717244148254395
1,37,-0.25175195932388306,-0.005407653748989105,0.5913987159729004
1,38,-0.25175195932388306,-0.03948457911610603,0.5717244148254395
1,39,-0.25175195932388306,-0.05084355175495148,0.5913987159729004
